ChEMBL_ID,Name,SMILES,MW,Source,Tanimoto_MaxSim,Best_Match_Ref,P_EGFR_active,QED,Repurposing_Score
CHEMBL284092,GEPIRONE,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,359.47,ChEMBL,0.1405,Gefitinib,0.5062,0.567,0.3721
CHEMBL278819,MINAPRINE,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,298.39,ChEMBL,0.2137,Gefitinib,0.2542,0.9168,0.3705
CHEMBL49,BUSPIRONE,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,385.51,ChEMBL,0.127,Gefitinib,0.5008,0.5517,0.3615
CHEMBL34259,METHOTREXATE,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,454.45,ChEMBL,0.1049,Osimertinib,0.6045,0.2947,0.3427
CHEMBL713,ENTECAVIR ANHYDROUS,C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21,277.28,ChEMBL,0.0738,Erlotinib,0.517,0.5301,0.3423
CHEMBL18,ETHOXZOLAMIDE,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,258.32,ChEMBL,0.1359,Erlotinib,0.2231,0.9003,0.3237
CHEMBL121,ROSIGLITAZONE,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,357.44,ChEMBL,0.1458,Osimertinib,0.2458,0.8209,0.3208
CHEMBL126,LINEZOLID,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,337.35,ChEMBL,0.155,Gefitinib,0.1932,0.8916,0.3176
CHEMBL499,TIMOLOL,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,316.43,ChEMBL,0.1452,Gefitinib,0.2456,0.791,0.3145
CHEMBL599,MELOXICAM,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,351.41,ChEMBL,0.1103,Osimertinib,0.2316,0.8614,0.309
CHEMBL14376,ILOPERIDONE,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,426.49,ChEMBL,0.2537,Gefitinib,0.3265,0.3799,0.3081
CHEMBL716,QUETIAPINE,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,383.52,ChEMBL,0.1269,Gefitinib,0.2383,0.8049,0.3071
CHEMBL24828,VANDETANIB,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,475.36,ChEMBL,0.1871,Gefitinib,0.2811,0.5936,0.306
CHEMBL802,MINOXIDIL,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],209.25,ChEMBL,0.0609,Gefitinib,0.4556,0.4959,0.3058
CHEMBL527,PIROXICAM,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,331.35,ChEMBL,0.1119,Osimertinib,0.2135,0.8702,0.3042
CHEMBL4,OFLOXACIN,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,361.37,ChEMBL,0.1095,Gefitinib,0.2126,0.8747,0.3038
CHEMBL33,LEVOFLOXACIN ANHYDROUS,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,361.37,ChEMBL,0.1095,Gefitinib,0.2126,0.8747,0.3038
CHEMBL682,AMODIAQUINE,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,355.87,ChEMBL,0.192,Afatinib,0.2643,0.598,0.3021
CHEMBL14370,REBOXETINE,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,313.4,ChEMBL,0.1121,Erlotinib,0.1948,0.8889,0.3005
CHEMBL826,ENOXACIN,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,320.32,ChEMBL,0.1061,Gefitinib,0.2112,0.8639,0.2997
CHEMBL35,FUROSEMIDE,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,330.75,ChEMBL,0.1393,Afatinib,0.2245,0.7689,0.2993
CHEMBL15677,FENCLOFENAC,O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,297.14,ChEMBL,0.1293,Afatinib,0.1642,0.9087,0.2991
CHEMBL567,PERPHENAZINE,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,403.98,ChEMBL,0.1318,Gefitinib,0.2215,0.7887,0.2991
CHEMBL436,TOLRESTAT,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,357.35,ChEMBL,0.1371,Afatinib,0.1861,0.8483,0.2989
CHEMBL10878,AGOMELATINE,COc1ccc2cccc(CCNC(C)=O)c2c1,243.31,ChEMBL,0.1321,Erlotinib,0.1653,0.8957,0.2981
CHEMBL31,GATIFLOXACIN,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,375.4,ChEMBL,0.1071,Gefitinib,0.2116,0.8503,0.2975
CHEMBL107,COLCHICINE,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,399.44,ChEMBL,0.0993,Osimertinib,0.2272,0.8325,0.2971
CHEMBL268869,SULFAMETHOXYPYRIDAZINE,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,280.31,ChEMBL,0.1068,Erlotinib,0.2302,0.8045,0.2957
CHEMBL267744,TICRYNAFEN,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,331.18,ChEMBL,0.1176,Afatinib,0.197,0.8478,0.2954
